## Toa Made

## Anchor - Impostor

"achievement.researcher.challenge.splitted.3" : "行方は、、、"

## Linker - Crewmate
"role.linker.name" : "リンカー"
"role.linker.short" : "リン"
"role.linker.blurb" : "繋ぐのは絆か、それとも運命か"
"options.role.linker.linkCooldown" : "縁結びクールダウン"
"options.role.linker.doActionFlash" : "すべてのフラッシュを発動させる"
"options.role.linker.doTaskFlash" : "タスク完了フラッシュ"
"options.role.linker.doKillFlash" : "キル実行フラッシュ"
"options.role.linker.doKilledFlash" : "キル被害フラッシュ"
"options.role.linker.doDoorOpenFlash" : "ドア開閉フラッシュ"
"options.role.linker.doVentFlash" : "ベント進入フラッシュ"
"options.role.linker.doGameActionFlash" : "ゲームアクションフラッシュ"
"options.role.linker.followUpSuicide" : "リンク先が死んだ場合、後追い死をするか"

## Coordinator - Impostor
"role.coordinator.name" : "コーディネーター"
"role.coordinator.short" : "コー"
"role.coordinator.blurb" : "座標を読み解け"
"role.coordinator.doc" : "プレイヤーを選択し、マップ上でその人の位置を推測します。<br>精度が高く、自分から遠いほどキルクールダウンが短くなります。<br>部屋を当てれば成功、外せば<color=red>対象に通知</color>がいきます。"
"options.role.coordinator.detail" : "プレイヤーを選択し、マップ上でその人の位置を推測します。<br>精度が高く、自分から遠いほどキルクールダウンが短くなります。<br>部屋を当てれば成功、外せば<color=red>対象に通知</color>がいきます。"
"options.role.coordinator.coordinateCoolDown" : "座標特定クールダウン"
"options.role.coordinator.killCooldownBase" : "キルクールダウン（基本値）"
"options.role.coordinator.killCooldownMin" : "キルクールダウン（最小値）"
"options.role.coordinator.killCooldownMax" : "キルクールダウン（最大値）"
"button.label.coordinate" : "座標特定"
"coordinator.selectPlayer" : "ターゲットを選択"
"coordinator.selectRoom" : "部屋を選択"
"coordinator.notification.failed" : "殺気を感じたが、気のせいだったようだ..."

### junjun Made

#スポイラー spoiler impostor modifier
"role.spoiler.name" : "スポイラー"
"role.spoiler.short" : "スポ"
"role.spoiler.blurb" : "ネタバレ注意"
"role.spoiler.doc" : "スポイラーはキルするとその人の役職が分かり、その役職が残り何人か判別できます<br>なお判別された人数はその時の人数であり変化しない"
"options.role.spoiler.detail" : "スポイラーはキルするとその人の役職が分かり、その役職が残り何人か判別できます<br>なお判別された人数はその時の人数であり変化しない"
"role.spoiler.overlay" : "残り%COUNT%人"
"options.role.spoiler.CanSeeRemainingRoles" : "キルした役職の残り人数が見える"

#アキューサー neutral
"teams.accuser" : "アキューサー"
"role.accuser.name" : "アキューサー"
"role.accuser.short" : "アキュ"
"role.accuser.blurb" : "すべてを見透かせ"
"role.accuser.doc" : "他役職を一定数推測をすることにより勝利が出来ます"
"options.role.accuser.detail" : "他役職を一定数推測をすることにより勝利が出来ます"
"options.role.accuser.NumOfGuessToWinOption" : "勝利に必要な推測成功回数"
"options.role.accuser.numOfGuessPerMeeting" : "１回の会議で推測できる回数"
"end.accuser" : "アキューサー%EXTRA%勝利"

#ばーくろー modifier for crewmate
"role.barclaw.name" : "ばーくろー"
"role.barclaw.short" : "ば"
"role.barclaw.generalBlurb" : "死が重なれば、沈黙は破られる"
"role.barclaw.doc" : "ばーくろーは死人が一定数出ると勝手に緊急会議を始めてしまうクルー専用モディファイアです"
"options.role.barclaw.detail" : "ばーくろーは死人が一定数出ると勝手に緊急会議を始めてしまうクルー専用モディファイアです"
"options.role.barclaw.numOfDeadRequired" : "緊急会議が発動する死体の数"
"options.role.barclaw.numOfMaxButton" : "緊急会議が発動する最大回数"
"options.role.barclaw.enableAfterSecondTurn" : "２回目のターン以降に有効化"
"options.role.barclaw.showMeetingInFlash" : "会議が入る前(死体が一定数出た時のフラッシュ表示)"
"options.role.barclaw.meetingDelayOption" : "会議が始まるまでの遅延"
"options.role.barclaw.meetingDelayDispersionOption" : "会議が始まるまでの遅延のばらつき"
"options.role.barclaw.allowGhostMeeting" : "死んでいても通報が入るか"

# Settings
"settings.mrip.category.stable" : "安定版"
"settings.mrip.category.snapshot" : "スナップショット"
"settings.mrip.category.unknown" : "不明"
"settings.mrip.downloading" : "更新をダウンロード中..."
"settings.mrip.update.message" : "更新のダウンロードが完了しました。\n\nゲームを再起動すると、\n新しいバージョン(%VERSION%)が適用されます。"
"settings.mrip.update.title" : "ダウンロード完了"
"settings.mrip.update.failed" : "ダウンロード失敗"
"settings.mrip.dialog.title" : "MRIP設定"
"settings.mrip.dialog.ok" : "OK"
"settings.mrip.button.name" : "MRIP設定"
"settings.mrip.loading" : "バージョン情報を読み込み中..."
"settings.mrip.status.current" : "使用中"
"settings.mrip.button.get" : "取得"
"settings.mrip.button.more" : "もっと読み込む"

